userid,pwd,email,displayName,random_user_id
user44,44,user44@campus.fct.unl.pt,user44,user20
user45,45,user45@campus.fct.unl.pt,user45,user15
user46,46,user46@campus.fct.unl.pt,user46,user15
user47,47,user47@campus.fct.unl.pt,user47,user29
user48,48,user48@campus.fct.unl.pt,user48,user3
user49,49,user49@campus.fct.unl.pt,user49,user7
user50,50,user50@campus.fct.unl.pt,user50,user19
user51,51,user51@campus.fct.unl.pt,user51,user6
user52,52,user52@campus.fct.unl.pt,user52,user13
user53,53,user53@campus.fct.unl.pt,user53,user22
user54,54,user54@campus.fct.unl.pt,user54,user29
user55,55,user55@campus.fct.unl.pt,user55,user12
user56,56,user56@campus.fct.unl.pt,user56,user17
user57,57,user57@campus.fct.unl.pt,user57,user13
user58,58,user58@campus.fct.unl.pt,user58,user23
user59,59,user59@campus.fct.unl.pt,user59,user7
user60,60,user60@campus.fct.unl.pt,user60,user13
user61,61,user61@campus.fct.unl.pt,user61,user11
user62,62,user62@campus.fct.unl.pt,user62,user26
user63,63,user63@campus.fct.unl.pt,user63,user11
user64,64,user64@campus.fct.unl.pt,user64,user9
user65,65,user65@campus.fct.unl.pt,user65,user30
user66,66,user66@campus.fct.unl.pt,user66,user5
user67,67,user67@campus.fct.unl.pt,user67,user6
user68,68,user68@campus.fct.unl.pt,user68,user20
user69,69,user69@campus.fct.unl.pt,user69,user12
user70,70,user70@campus.fct.unl.pt,user70,user17
user71,71,user71@campus.fct.unl.pt,user71,user18
user72,72,user72@campus.fct.unl.pt,user72,user6
user73,73,user73@campus.fct.unl.pt,user73,user14
user74,74,user74@campus.fct.unl.pt,user74,user20
user75,75,user75@campus.fct.unl.pt,user75,user7
user76,76,user76@campus.fct.unl.pt,user76,user29
user77,77,user77@campus.fct.unl.pt,user77,user9
user78,78,user78@campus.fct.unl.pt,user78,user29
user79,79,user79@campus.fct.unl.pt,user79,user9
user80,80,user80@campus.fct.unl.pt,user80,user5
user81,81,user81@campus.fct.unl.pt,user81,user15
user82,82,user82@campus.fct.unl.pt,user82,user8
user83,83,user83@campus.fct.unl.pt,user83,user23
user84,84,user84@campus.fct.unl.pt,user84,user30
user85,85,user85@campus.fct.unl.pt,user85,user13
user86,86,user86@campus.fct.unl.pt,user86,user6
user87,87,user87@campus.fct.unl.pt,user87,user29
user88,88,user88@campus.fct.unl.pt,user88,user4
user89,89,user89@campus.fct.unl.pt,user89,user16
user90,90,user90@campus.fct.unl.pt,user90,user14
user91,91,user91@campus.fct.unl.pt,user91,user27
user92,92,user92@campus.fct.unl.pt,user92,user24
user93,93,user93@campus.fct.unl.pt,user93,user7
user94,94,user94@campus.fct.unl.pt,user94,user4
user95,95,user95@campus.fct.unl.pt,user95,user7
user96,96,user96@campus.fct.unl.pt,user96,user15
user97,97,user97@campus.fct.unl.pt,user97,user18
user98,98,user98@campus.fct.unl.pt,user98,user23
user99,99,user99@campus.fct.unl.pt,user99,user28
user100,100,user100@campus.fct.unl.pt,user100,user5
user101,101,user101@campus.fct.unl.pt,user101,user6
user102,102,user102@campus.fct.unl.pt,user102,user21
user103,103,user103@campus.fct.unl.pt,user103,user13
user104,104,user104@campus.fct.unl.pt,user104,user23
user105,105,user105@campus.fct.unl.pt,user105,user29
user106,106,user106@campus.fct.unl.pt,user106,user2
user107,107,user107@campus.fct.unl.pt,user107,user18
user108,108,user108@campus.fct.unl.pt,user108,user19
user109,109,user109@campus.fct.unl.pt,user109,user27
user110,110,user110@campus.fct.unl.pt,user110,user14
user111,111,user111@campus.fct.unl.pt,user111,user17
user112,112,user112@campus.fct.unl.pt,user112,user22
user113,113,user113@campus.fct.unl.pt,user113,user13
user114,114,user114@campus.fct.unl.pt,user114,user2
user115,115,user115@campus.fct.unl.pt,user115,user26
user116,116,user116@campus.fct.unl.pt,user116,user29
user117,117,user117@campus.fct.unl.pt,user117,user20
user118,118,user118@campus.fct.unl.pt,user118,user12
user119,119,user119@campus.fct.unl.pt,user119,user5
user120,120,user120@campus.fct.unl.pt,user120,user12
user121,121,user121@campus.fct.unl.pt,user121,user29
user122,122,user122@campus.fct.unl.pt,user122,user17
user123,123,user123@campus.fct.unl.pt,user123,user4
user124,124,user124@campus.fct.unl.pt,user124,user21
user125,125,user125@campus.fct.unl.pt,user125,user12
user126,126,user126@campus.fct.unl.pt,user126,user5
user127,127,user127@campus.fct.unl.pt,user127,user9
user128,128,user128@campus.fct.unl.pt,user128,user13
user129,129,user129@campus.fct.unl.pt,user129,user10
user130,130,user130@campus.fct.unl.pt,user130,user8
user131,131,user131@campus.fct.unl.pt,user131,user30
user132,132,user132@campus.fct.unl.pt,user132,user2
user133,133,user133@campus.fct.unl.pt,user133,user27
user134,134,user134@campus.fct.unl.pt,user134,user22
user135,135,user135@campus.fct.unl.pt,user135,user18
user136,136,user136@campus.fct.unl.pt,user136,user24
user137,137,user137@campus.fct.unl.pt,user137,user28
user138,138,user138@campus.fct.unl.pt,user138,user13
user139,139,user139@campus.fct.unl.pt,user139,user14
user140,140,user140@campus.fct.unl.pt,user140,user13
user141,141,user141@campus.fct.unl.pt,user141,user23
user142,142,user142@campus.fct.unl.pt,user142,user3
user143,143,user143@campus.fct.unl.pt,user143,user16
user144,144,user144@campus.fct.unl.pt,user144,user25
user145,145,user145@campus.fct.unl.pt,user145,user6
user146,146,user146@campus.fct.unl.pt,user146,user22
user147,147,user147@campus.fct.unl.pt,user147,user28
user148,148,user148@campus.fct.unl.pt,user148,user2
user149,149,user149@campus.fct.unl.pt,user149,user26
user150,150,user150@campus.fct.unl.pt,user150,user13
user151,151,user151@campus.fct.unl.pt,user151,user25
user152,152,user152@campus.fct.unl.pt,user152,user20
user153,153,user153@campus.fct.unl.pt,user153,user28
user154,154,user154@campus.fct.unl.pt,user154,user6
user155,155,user155@campus.fct.unl.pt,user155,user6
user156,156,user156@campus.fct.unl.pt,user156,user14
user157,157,user157@campus.fct.unl.pt,user157,user7
user158,158,user158@campus.fct.unl.pt,user158,user21
user159,159,user159@campus.fct.unl.pt,user159,user28
user160,160,user160@campus.fct.unl.pt,user160,user13
user161,161,user161@campus.fct.unl.pt,user161,user17
user162,162,user162@campus.fct.unl.pt,user162,user30
user163,163,user163@campus.fct.unl.pt,user163,user27
user164,164,user164@campus.fct.unl.pt,user164,user28
user165,165,user165@campus.fct.unl.pt,user165,user20
user166,166,user166@campus.fct.unl.pt,user166,user8
user167,167,user167@campus.fct.unl.pt,user167,user12
user168,168,user168@campus.fct.unl.pt,user168,user8
user169,169,user169@campus.fct.unl.pt,user169,user30
user170,170,user170@campus.fct.unl.pt,user170,user25
user171,171,user171@campus.fct.unl.pt,user171,user4
user172,172,user172@campus.fct.unl.pt,user172,user2
user173,173,user173@campus.fct.unl.pt,user173,user9
user174,174,user174@campus.fct.unl.pt,user174,user27
user175,175,user175@campus.fct.unl.pt,user175,user12
user176,176,user176@campus.fct.unl.pt,user176,user21
user177,177,user177@campus.fct.unl.pt,user177,user14
user178,178,user178@campus.fct.unl.pt,user178,user25
user179,179,user179@campus.fct.unl.pt,user179,user25
user180,180,user180@campus.fct.unl.pt,user180,user8
user181,181,user181@campus.fct.unl.pt,user181,user25
user182,182,user182@campus.fct.unl.pt,user182,user14
user183,183,user183@campus.fct.unl.pt,user183,user30
user184,184,user184@campus.fct.unl.pt,user184,user13
user185,185,user185@campus.fct.unl.pt,user185,user16
user186,186,user186@campus.fct.unl.pt,user186,user16
user187,187,user187@campus.fct.unl.pt,user187,user8
user188,188,user188@campus.fct.unl.pt,user188,user9
user189,189,user189@campus.fct.unl.pt,user189,user26
user190,190,user190@campus.fct.unl.pt,user190,user24
user191,191,user191@campus.fct.unl.pt,user191,user3
user192,192,user192@campus.fct.unl.pt,user192,user28
user193,193,user193@campus.fct.unl.pt,user193,user19
user194,194,user194@campus.fct.unl.pt,user194,user10
user195,195,user195@campus.fct.unl.pt,user195,user15
user196,196,user196@campus.fct.unl.pt,user196,user23
user197,197,user197@campus.fct.unl.pt,user197,user9
user198,198,user198@campus.fct.unl.pt,user198,user6
user199,199,user199@campus.fct.unl.pt,user199,user4
user200,200,user200@campus.fct.unl.pt,user200,user27
user201,201,user201@campus.fct.unl.pt,user201,user6
user202,202,user202@campus.fct.unl.pt,user202,user19
user203,203,user203@campus.fct.unl.pt,user203,user19
user204,204,user204@campus.fct.unl.pt,user204,user22
user205,205,user205@campus.fct.unl.pt,user205,user14
user206,206,user206@campus.fct.unl.pt,user206,user27
user207,207,user207@campus.fct.unl.pt,user207,user21
user208,208,user208@campus.fct.unl.pt,user208,user23
user209,209,user209@campus.fct.unl.pt,user209,user29
user210,210,user210@campus.fct.unl.pt,user210,user21
user211,211,user211@campus.fct.unl.pt,user211,user8
user212,212,user212@campus.fct.unl.pt,user212,user5
user213,213,user213@campus.fct.unl.pt,user213,user29
user214,214,user214@campus.fct.unl.pt,user214,user12
user215,215,user215@campus.fct.unl.pt,user215,user18
user216,216,user216@campus.fct.unl.pt,user216,user3
user217,217,user217@campus.fct.unl.pt,user217,user25
user218,218,user218@campus.fct.unl.pt,user218,user20
user219,219,user219@campus.fct.unl.pt,user219,user10
user220,220,user220@campus.fct.unl.pt,user220,user25
user221,221,user221@campus.fct.unl.pt,user221,user2
user222,222,user222@campus.fct.unl.pt,user222,user6
user223,223,user223@campus.fct.unl.pt,user223,user24
user224,224,user224@campus.fct.unl.pt,user224,user24
user225,225,user225@campus.fct.unl.pt,user225,user23
user226,226,user226@campus.fct.unl.pt,user226,user19
user227,227,user227@campus.fct.unl.pt,user227,user18
user228,228,user228@campus.fct.unl.pt,user228,user27
user229,229,user229@campus.fct.unl.pt,user229,user18
user230,230,user230@campus.fct.unl.pt,user230,user14
user231,231,user231@campus.fct.unl.pt,user231,user8
user232,232,user232@campus.fct.unl.pt,user232,user27
user233,233,user233@campus.fct.unl.pt,user233,user25
user234,234,user234@campus.fct.unl.pt,user234,user16
user235,235,user235@campus.fct.unl.pt,user235,user10
user236,236,user236@campus.fct.unl.pt,user236,user14
user237,237,user237@campus.fct.unl.pt,user237,user23
user238,238,user238@campus.fct.unl.pt,user238,user20
user239,239,user239@campus.fct.unl.pt,user239,user16
user240,240,user240@campus.fct.unl.pt,user240,user27
user241,241,user241@campus.fct.unl.pt,user241,user3
user242,242,user242@campus.fct.unl.pt,user242,user10
user243,243,user243@campus.fct.unl.pt,user243,user15
user244,244,user244@campus.fct.unl.pt,user244,user7
user245,245,user245@campus.fct.unl.pt,user245,user18
user246,246,user246@campus.fct.unl.pt,user246,user19
user247,247,user247@campus.fct.unl.pt,user247,user13
user248,248,user248@campus.fct.unl.pt,user248,user27
user249,249,user249@campus.fct.unl.pt,user249,user8
user250,250,user250@campus.fct.unl.pt,user250,user30
user251,251,user251@campus.fct.unl.pt,user251,user14
user252,252,user252@campus.fct.unl.pt,user252,user28
user253,253,user253@campus.fct.unl.pt,user253,user22
user254,254,user254@campus.fct.unl.pt,user254,user19
user255,255,user255@campus.fct.unl.pt,user255,user12
user256,256,user256@campus.fct.unl.pt,user256,user25
user257,257,user257@campus.fct.unl.pt,user257,user3
user258,258,user258@campus.fct.unl.pt,user258,user19
user259,259,user259@campus.fct.unl.pt,user259,user23
user260,260,user260@campus.fct.unl.pt,user260,user22
user261,261,user261@campus.fct.unl.pt,user261,user10
user262,262,user262@campus.fct.unl.pt,user262,user19
user263,263,user263@campus.fct.unl.pt,user263,user3
user264,264,user264@campus.fct.unl.pt,user264,user10
user265,265,user265@campus.fct.unl.pt,user265,user15
user266,266,user266@campus.fct.unl.pt,user266,user9
user267,267,user267@campus.fct.unl.pt,user267,user23
user268,268,user268@campus.fct.unl.pt,user268,user11
user269,269,user269@campus.fct.unl.pt,user269,user16
user270,270,user270@campus.fct.unl.pt,user270,user17
user271,271,user271@campus.fct.unl.pt,user271,user15
user272,272,user272@campus.fct.unl.pt,user272,user16
user273,273,user273@campus.fct.unl.pt,user273,user5
user274,274,user274@campus.fct.unl.pt,user274,user26
user275,275,user275@campus.fct.unl.pt,user275,user2
user276,276,user276@campus.fct.unl.pt,user276,user11
user277,277,user277@campus.fct.unl.pt,user277,user18
user278,278,user278@campus.fct.unl.pt,user278,user25
user279,279,user279@campus.fct.unl.pt,user279,user30
user280,280,user280@campus.fct.unl.pt,user280,user25
user281,281,user281@campus.fct.unl.pt,user281,user16
user282,282,user282@campus.fct.unl.pt,user282,user5
user283,283,user283@campus.fct.unl.pt,user283,user18
user284,284,user284@campus.fct.unl.pt,user284,user26
user285,285,user285@campus.fct.unl.pt,user285,user18
user286,286,user286@campus.fct.unl.pt,user286,user11
user287,287,user287@campus.fct.unl.pt,user287,user26
user288,288,user288@campus.fct.unl.pt,user288,user18
user289,289,user289@campus.fct.unl.pt,user289,user28
user290,290,user290@campus.fct.unl.pt,user290,user30
user291,291,user291@campus.fct.unl.pt,user291,user27
user292,292,user292@campus.fct.unl.pt,user292,user12
user293,293,user293@campus.fct.unl.pt,user293,user6
user294,294,user294@campus.fct.unl.pt,user294,user28
user295,295,user295@campus.fct.unl.pt,user295,user15
user296,296,user296@campus.fct.unl.pt,user296,user8
user297,297,user297@campus.fct.unl.pt,user297,user12
user298,298,user298@campus.fct.unl.pt,user298,user4
user299,299,user299@campus.fct.unl.pt,user299,user26
user300,300,user300@campus.fct.unl.pt,user300,user17
user301,301,user301@campus.fct.unl.pt,user301,user5
user302,302,user302@campus.fct.unl.pt,user302,user27
user303,303,user303@campus.fct.unl.pt,user303,user20
user304,304,user304@campus.fct.unl.pt,user304,user7
user305,305,user305@campus.fct.unl.pt,user305,user4
user306,306,user306@campus.fct.unl.pt,user306,user28
user307,307,user307@campus.fct.unl.pt,user307,user9
user308,308,user308@campus.fct.unl.pt,user308,user30
user309,309,user309@campus.fct.unl.pt,user309,user6
user310,310,user310@campus.fct.unl.pt,user310,user7
user311,311,user311@campus.fct.unl.pt,user311,user29
user312,312,user312@campus.fct.unl.pt,user312,user29
user313,313,user313@campus.fct.unl.pt,user313,user6
user314,314,user314@campus.fct.unl.pt,user314,user10
user315,315,user315@campus.fct.unl.pt,user315,user20
user316,316,user316@campus.fct.unl.pt,user316,user23
user317,317,user317@campus.fct.unl.pt,user317,user3
user318,318,user318@campus.fct.unl.pt,user318,user26
user319,319,user319@campus.fct.unl.pt,user319,user23
user320,320,user320@campus.fct.unl.pt,user320,user4
user321,321,user321@campus.fct.unl.pt,user321,user26
user322,322,user322@campus.fct.unl.pt,user322,user9
user323,323,user323@campus.fct.unl.pt,user323,user19
user324,324,user324@campus.fct.unl.pt,user324,user2
user325,325,user325@campus.fct.unl.pt,user325,user6
user326,326,user326@campus.fct.unl.pt,user326,user29
user327,327,user327@campus.fct.unl.pt,user327,user30
user328,328,user328@campus.fct.unl.pt,user328,user5
user329,329,user329@campus.fct.unl.pt,user329,user22
user330,330,user330@campus.fct.unl.pt,user330,user8
user331,331,user331@campus.fct.unl.pt,user331,user29
user332,332,user332@campus.fct.unl.pt,user332,user22
user333,333,user333@campus.fct.unl.pt,user333,user7
user334,334,user334@campus.fct.unl.pt,user334,user22
user335,335,user335@campus.fct.unl.pt,user335,user26
user336,336,user336@campus.fct.unl.pt,user336,user10
user337,337,user337@campus.fct.unl.pt,user337,user17
user338,338,user338@campus.fct.unl.pt,user338,user16
user339,339,user339@campus.fct.unl.pt,user339,user6
user340,340,user340@campus.fct.unl.pt,user340,user24
user341,341,user341@campus.fct.unl.pt,user341,user14
user342,342,user342@campus.fct.unl.pt,user342,user26
user343,343,user343@campus.fct.unl.pt,user343,user8
user344,344,user344@campus.fct.unl.pt,user344,user29
user345,345,user345@campus.fct.unl.pt,user345,user30
user346,346,user346@campus.fct.unl.pt,user346,user23
user347,347,user347@campus.fct.unl.pt,user347,user15
user348,348,user348@campus.fct.unl.pt,user348,user25
user349,349,user349@campus.fct.unl.pt,user349,user19
user350,350,user350@campus.fct.unl.pt,user350,user6
user351,351,user351@campus.fct.unl.pt,user351,user1
user352,352,user352@campus.fct.unl.pt,user352,user3
user353,353,user353@campus.fct.unl.pt,user353,user4
user354,354,user354@campus.fct.unl.pt,user354,user30
user355,355,user355@campus.fct.unl.pt,user355,user13
user356,356,user356@campus.fct.unl.pt,user356,user28
user357,357,user357@campus.fct.unl.pt,user357,user21
user358,358,user358@campus.fct.unl.pt,user358,user14
user359,359,user359@campus.fct.unl.pt,user359,user3
user360,360,user360@campus.fct.unl.pt,user360,user28
user361,361,user361@campus.fct.unl.pt,user361,user1
user362,362,user362@campus.fct.unl.pt,user362,user6
user363,363,user363@campus.fct.unl.pt,user363,user24
user364,364,user364@campus.fct.unl.pt,user364,user3
user365,365,user365@campus.fct.unl.pt,user365,user3
user366,366,user366@campus.fct.unl.pt,user366,user17
user367,367,user367@campus.fct.unl.pt,user367,user26
user368,368,user368@campus.fct.unl.pt,user368,user8
user369,369,user369@campus.fct.unl.pt,user369,user22
user370,370,user370@campus.fct.unl.pt,user370,user15
user371,371,user371@campus.fct.unl.pt,user371,user12
user372,372,user372@campus.fct.unl.pt,user372,user10
user373,373,user373@campus.fct.unl.pt,user373,user10
user374,374,user374@campus.fct.unl.pt,user374,user21
user375,375,user375@campus.fct.unl.pt,user375,user18
user376,376,user376@campus.fct.unl.pt,user376,user13
user377,377,user377@campus.fct.unl.pt,user377,user7
user378,378,user378@campus.fct.unl.pt,user378,user3
user379,379,user379@campus.fct.unl.pt,user379,user18
user380,380,user380@campus.fct.unl.pt,user380,user4
user381,381,user381@campus.fct.unl.pt,user381,user12
user382,382,user382@campus.fct.unl.pt,user382,user1
user383,383,user383@campus.fct.unl.pt,user383,user28
user384,384,user384@campus.fct.unl.pt,user384,user22
user385,385,user385@campus.fct.unl.pt,user385,user30
user386,386,user386@campus.fct.unl.pt,user386,user8
user387,387,user387@campus.fct.unl.pt,user387,user15
user388,388,user388@campus.fct.unl.pt,user388,user7
user389,389,user389@campus.fct.unl.pt,user389,user5
user390,390,user390@campus.fct.unl.pt,user390,user11
user391,391,user391@campus.fct.unl.pt,user391,user18
user392,392,user392@campus.fct.unl.pt,user392,user3
user393,393,user393@campus.fct.unl.pt,user393,user14
user394,394,user394@campus.fct.unl.pt,user394,user8
user395,395,user395@campus.fct.unl.pt,user395,user7
user396,396,user396@campus.fct.unl.pt,user396,user11
user397,397,user397@campus.fct.unl.pt,user397,user21
user398,398,user398@campus.fct.unl.pt,user398,user28
user399,399,user399@campus.fct.unl.pt,user399,user10
user400,400,user400@campus.fct.unl.pt,user400,user29
user401,401,user401@campus.fct.unl.pt,user401,user3
user402,402,user402@campus.fct.unl.pt,user402,user5
user403,403,user403@campus.fct.unl.pt,user403,user20
user404,404,user404@campus.fct.unl.pt,user404,user2
user405,405,user405@campus.fct.unl.pt,user405,user23
user406,406,user406@campus.fct.unl.pt,user406,user10
user407,407,user407@campus.fct.unl.pt,user407,user17
user408,408,user408@campus.fct.unl.pt,user408,user29
user409,409,user409@campus.fct.unl.pt,user409,user18
user410,410,user410@campus.fct.unl.pt,user410,user6
user411,411,user411@campus.fct.unl.pt,user411,user8
user412,412,user412@campus.fct.unl.pt,user412,user9
user413,413,user413@campus.fct.unl.pt,user413,user21
user414,414,user414@campus.fct.unl.pt,user414,user21
user415,415,user415@campus.fct.unl.pt,user415,user3
user416,416,user416@campus.fct.unl.pt,user416,user24
user417,417,user417@campus.fct.unl.pt,user417,user5
user418,418,user418@campus.fct.unl.pt,user418,user24
user419,419,user419@campus.fct.unl.pt,user419,user17
user420,420,user420@campus.fct.unl.pt,user420,user8
user421,421,user421@campus.fct.unl.pt,user421,user5
user422,422,user422@campus.fct.unl.pt,user422,user19
user423,423,user423@campus.fct.unl.pt,user423,user10
user424,424,user424@campus.fct.unl.pt,user424,user20
user425,425,user425@campus.fct.unl.pt,user425,user20
user426,426,user426@campus.fct.unl.pt,user426,user7
user427,427,user427@campus.fct.unl.pt,user427,user24
user428,428,user428@campus.fct.unl.pt,user428,user29
user429,429,user429@campus.fct.unl.pt,user429,user15
user430,430,user430@campus.fct.unl.pt,user430,user7
user431,431,user431@campus.fct.unl.pt,user431,user20
user432,432,user432@campus.fct.unl.pt,user432,user30
user433,433,user433@campus.fct.unl.pt,user433,user29
user434,434,user434@campus.fct.unl.pt,user434,user16
user435,435,user435@campus.fct.unl.pt,user435,user21
user436,436,user436@campus.fct.unl.pt,user436,user12
user437,437,user437@campus.fct.unl.pt,user437,user29
user438,438,user438@campus.fct.unl.pt,user438,user4
user439,439,user439@campus.fct.unl.pt,user439,user11
user440,440,user440@campus.fct.unl.pt,user440,user17
user441,441,user441@campus.fct.unl.pt,user441,user8
user442,442,user442@campus.fct.unl.pt,user442,user24
user443,443,user443@campus.fct.unl.pt,user443,user14
user444,444,user444@campus.fct.unl.pt,user444,user11
user445,445,user445@campus.fct.unl.pt,user445,user17
user446,446,user446@campus.fct.unl.pt,user446,user30
user447,447,user447@campus.fct.unl.pt,user447,user16
user448,448,user448@campus.fct.unl.pt,user448,user11
user449,449,user449@campus.fct.unl.pt,user449,user7
user450,450,user450@campus.fct.unl.pt,user450,user16
user451,451,user451@campus.fct.unl.pt,user451,user12
user452,452,user452@campus.fct.unl.pt,user452,user11
user453,453,user453@campus.fct.unl.pt,user453,user13
user454,454,user454@campus.fct.unl.pt,user454,user12
user455,455,user455@campus.fct.unl.pt,user455,user26
user456,456,user456@campus.fct.unl.pt,user456,user8
user457,457,user457@campus.fct.unl.pt,user457,user6
user458,458,user458@campus.fct.unl.pt,user458,user23
user459,459,user459@campus.fct.unl.pt,user459,user23
user460,460,user460@campus.fct.unl.pt,user460,user24
user461,461,user461@campus.fct.unl.pt,user461,user11
user462,462,user462@campus.fct.unl.pt,user462,user26
user463,463,user463@campus.fct.unl.pt,user463,user14
user464,464,user464@campus.fct.unl.pt,user464,user22
user465,465,user465@campus.fct.unl.pt,user465,user16
user466,466,user466@campus.fct.unl.pt,user466,user17
user467,467,user467@campus.fct.unl.pt,user467,user29
user468,468,user468@campus.fct.unl.pt,user468,user11
user469,469,user469@campus.fct.unl.pt,user469,user16
user470,470,user470@campus.fct.unl.pt,user470,user30
user471,471,user471@campus.fct.unl.pt,user471,user14
user472,472,user472@campus.fct.unl.pt,user472,user21
user473,473,user473@campus.fct.unl.pt,user473,user16
user474,474,user474@campus.fct.unl.pt,user474,user11
user475,475,user475@campus.fct.unl.pt,user475,user26
user476,476,user476@campus.fct.unl.pt,user476,user21
user477,477,user477@campus.fct.unl.pt,user477,user24
user478,478,user478@campus.fct.unl.pt,user478,user19
user479,479,user479@campus.fct.unl.pt,user479,user16
user480,480,user480@campus.fct.unl.pt,user480,user12
user481,481,user481@campus.fct.unl.pt,user481,user15
user482,482,user482@campus.fct.unl.pt,user482,user14
user483,483,user483@campus.fct.unl.pt,user483,user10
user484,484,user484@campus.fct.unl.pt,user484,user3
user485,485,user485@campus.fct.unl.pt,user485,user14
user486,486,user486@campus.fct.unl.pt,user486,user3
user487,487,user487@campus.fct.unl.pt,user487,user3
user488,488,user488@campus.fct.unl.pt,user488,user21
user489,489,user489@campus.fct.unl.pt,user489,user6
user490,490,user490@campus.fct.unl.pt,user490,user8
user491,491,user491@campus.fct.unl.pt,user491,user20
user492,492,user492@campus.fct.unl.pt,user492,user14
user493,493,user493@campus.fct.unl.pt,user493,user11
user494,494,user494@campus.fct.unl.pt,user494,user21
user495,495,user495@campus.fct.unl.pt,user495,user17
user496,496,user496@campus.fct.unl.pt,user496,user26
user497,497,user497@campus.fct.unl.pt,user497,user2
user498,498,user498@campus.fct.unl.pt,user498,user2
user499,499,user499@campus.fct.unl.pt,user499,user23
user500,500,user500@campus.fct.unl.pt,user500,user23
user501,501,user501@campus.fct.unl.pt,user501,user7
user502,502,user502@campus.fct.unl.pt,user502,user23
user503,503,user503@campus.fct.unl.pt,user503,user7
user504,504,user504@campus.fct.unl.pt,user504,user9
user505,505,user505@campus.fct.unl.pt,user505,user27
user506,506,user506@campus.fct.unl.pt,user506,user10
user507,507,user507@campus.fct.unl.pt,user507,user12
user508,508,user508@campus.fct.unl.pt,user508,user25
user509,509,user509@campus.fct.unl.pt,user509,user27
user510,510,user510@campus.fct.unl.pt,user510,user5
user511,511,user511@campus.fct.unl.pt,user511,user3
user512,512,user512@campus.fct.unl.pt,user512,user2
user513,513,user513@campus.fct.unl.pt,user513,user19
user514,514,user514@campus.fct.unl.pt,user514,user9
user515,515,user515@campus.fct.unl.pt,user515,user12
user516,516,user516@campus.fct.unl.pt,user516,user25
user517,517,user517@campus.fct.unl.pt,user517,user5
user518,518,user518@campus.fct.unl.pt,user518,user30
user519,519,user519@campus.fct.unl.pt,user519,user24
user520,520,user520@campus.fct.unl.pt,user520,user19
user521,521,user521@campus.fct.unl.pt,user521,user29
user522,522,user522@campus.fct.unl.pt,user522,user19
user523,523,user523@campus.fct.unl.pt,user523,user28
user524,524,user524@campus.fct.unl.pt,user524,user30
user525,525,user525@campus.fct.unl.pt,user525,user21
user526,526,user526@campus.fct.unl.pt,user526,user30
user527,527,user527@campus.fct.unl.pt,user527,user10
user528,528,user528@campus.fct.unl.pt,user528,user3
user529,529,user529@campus.fct.unl.pt,user529,user14
user530,530,user530@campus.fct.unl.pt,user530,user20
user531,531,user531@campus.fct.unl.pt,user531,user6
user532,532,user532@campus.fct.unl.pt,user532,user3
user533,533,user533@campus.fct.unl.pt,user533,user9
user534,534,user534@campus.fct.unl.pt,user534,user26
user535,535,user535@campus.fct.unl.pt,user535,user22
user536,536,user536@campus.fct.unl.pt,user536,user17
user537,537,user537@campus.fct.unl.pt,user537,user6
